Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,11,No,1.89465091025,2.60874552546,22.0833333333,1659.90151515,40.7418889492,12,265,176120.0,4795.0,171325.0,6.868055555555555,3303.933517871018,11,8.3065869054,67.0045232776,57.4798531476,2
1,12,Yes,0.492474383308,-1.13890060857,15.9166666667,279.71969697,16.7248227784,11,191,182744.51826,3836.0,179195.0,7.125,3593.8164335664337,11,8.30736391295,67.0130490705,59.9484481331,1
1,13,No,0.724054514657,-0.868945794223,16.25,393.113636364,19.8270934926,9,195,5941.89070706,5754.0,345.0,0.04861111111111111,0.046571484071484065,2,4.19791894418,15.6225234619,0.215804272598,2
1,14,No,0.239465230245,0.0656705100918,20.1666666667,130.878787879,11.4402267407,7,242,128561.336397,5754.0,122966.5,4.833333333333333,1510.0699300699303,11,8.29730385552,66.9014173887,38.859618244,4
1,15,No,1.57663823655,1.1822488493,32.3333333333,2866.42424242,53.5389973984,12,388,588458.5,3836.0,584622.5,23.22222222222222,37514.132090132094,11,8.30637720735,67.0020902879,193.685652773,3
1,16,Yes,0.859558106687,-0.693154993916,18.1666666667,538.515151515,23.2059292319,12,218,265594.336397,3836.0,261917.5,10.333333333333334,7256.3076923076915,11,8.30359305949,66.9714154944,85.1839638213,1
1,17,No,2.8760984734,6.53974408921,13.5833333333,1479.53787879,38.46476152,10,163,3866.78141411,3836.0,345.0,0.027777777777777776,0.027195027195027192,3,5.74704893215,31.0285714286,0.164909148306,2
1,18,Yes,0.870154773132,-0.879328169089,21.0833333333,781.537878788,27.9559989767,12,253,223551.336397,6713.0,216997.5,8.6875,5283.153409090909,11,8.30693431308,67.0085779041,72.6853039417,1
1,19,Yes,0.248832591055,-0.437966969836,24.0833333333,185.356060606,13.614553265,12,289,230790.5,5754.0,225036.5,9.0,5656.307692307692,11,8.30695207638,67.0084791631,75.2084283329,1
1,20,No,0.122805657846,-0.908681437939,25.6666666667,218.424242424,14.7791827387,11,308,341826.5,4795.0,337031.5,13.395833333333334,12695.457604895104,11,8.30740954766,67.0134466877,112.674121274,4
1,21,No,1.17304320186,-0.597860761869,27.5,2488.63636364,49.8862342098,11,330,845276.50919,5754.0,840000.0,33.354166666666664,79338.64991258743,11,8.30745665869,67.0139790266,281.671173379,4
1,22,No,1.13742532849,-0.197029452334,23.0,1083.45454545,32.915870723,12,276,478708.336397,4795.0,474072.5,18.875,25244.417832167834,11,8.30736181783,67.0129641112,158.884920091,4
1,23,No,1.14260247309,-0.0873390677986,27.3333333333,1383.51515152,37.1956335007,11,328,797644.336397,3836.0,793967.5,31.520833333333332,70814.33522727272,11,8.30746318844,67.0140213774,266.109630091,3
1,24,No,1.79218568351,2.01452737973,26.5833333333,2249.71969697,47.4312101571,12,319,733402.0,2877.0,730525.0,28.84722222222222,57829.85062160063,11,8.30613956791,66.9994912874,240.478378699,4
1,25,Yes,1.15262144463,0.878235163367,20.6666666667,415.515151515,20.3841887627,12,248,379872.66927,4795.0,375362.5,14.95138888888889,15772.75985819736,11,8.30728952297,67.0121238195,125.58964869,1
1,26,Yes,0.263460163185,-1.0157867903,16.75,199.113636364,14.110763139,8,201,6960.5,5754.0,1206.5,0.08333333333333333,0.07692307692307691,1,3.01511344578,7.09090909091,0.277350098113,1
