Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistAll,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,11,No,1.53537129334,1.03654122351,34.1666666667,3035.60606061,55.0963343663,12,410,177870.0,4795.0,173075.0,6.902777777777778,3372.088383838384,11,8.30725093116,67.0118199621,58.0696855841,2
1,12,Yes,0.0751318877387,-1.70315060868,35.4166666667,1029.17424242,32.080745665,12,425,184494.51826,3836.0,180945.0,7.194444444444445,3664.5633255633256,11,8.30736599067,67.0130690608,60.535636823,1
1,13,No,0.715724323473,-0.618988319416,29.0,1180.18181818,34.3537744387,2,348,5941.89070706,5754.0,345.0,0.04861111111111111,0.046571484071484065,2,4.19791894418,15.6225234619,0.215804272598,2
1,14,No,0.174789746384,0.13752688035,32.1666666667,273.606060606,16.5410417026,10,386,133786.336397,5754.0,128191.5,4.9375,1557.0520104895104,11,8.28692616121,66.7839840654,39.4594983558,4
1,15,No,1.26284689062,0.350526467638,39.5,3316.09090909,57.585509541,12,474,597183.5,3836.0,593347.5,23.36111111111111,38202.931623931625,11,8.30636183864,67.0019055239,195.455702459,3
1,16,Yes,0.907111876351,-0.108339857773,34.1666666667,1587.42424242,39.8424929243,10,410,272569.336397,3836.0,268892.5,10.472222222222221,7458.85236985237,11,8.30181933377,66.9515783787,86.3646476856,1
1,17,No,2.74718533787,5.99692040717,29.75,5817.65909091,76.2735805565,10,357,3866.78141411,3836.0,345.0,0.027777777777777776,0.027195027195027192,3,5.74704893215,31.0285714286,0.164909148306,2
1,18,Yes,0.575356776,-1.27599593707,33.25,1550.56818182,39.3772546252,10,399,227051.336397,6713.0,220497.5,8.791666666666666,5455.69055944056,11,8.30734779612,67.0131045894,73.8626465776,1
1,19,Yes,0.464237611562,-0.779298476905,32.8333333333,143.96969697,11.9987373073,8,394,232540.5,5754.0,226786.5,9.034722222222221,5745.432352369853,11,8.30733451879,67.0126751271,75.7986302803,1
1,20,No,-0.214274079421,-0.234399151462,34.25,286.568181818,16.9283248379,10,411,341826.5,4795.0,337031.5,13.395833333333334,12695.457604895104,11,8.30740954766,67.0134466877,112.674121274,4
1,21,No,1.18283728482,-0.425892862947,41.9166666667,5046.62878788,71.0396282921,5,503,850526.50919,5754.0,845250.0,33.5625,80334.12194055945,11,8.30745684383,67.0139803338,283.432746768,4
1,22,No,0.668035809758,-1.02087692067,36.25,1887.11363636,43.4409212191,12,435,482208.336397,4795.0,477572.5,18.979166666666668,25620.132430069927,11,8.30744834537,67.0139100122,160.06290148,4
1,23,No,0.698152608735,-0.739748389589,39.4166666667,1800.99242424,42.4381010914,11,473,801144.336397,3836.0,797467.5,31.65972222222222,71440.74354118104,11,8.30746326224,67.0140219309,267.28401288,3
1,24,No,1.22192902456,0.281591876334,35.6666666667,2786.60606061,52.7883136746,12,428,742127.0,2877.0,739250.0,29.020833333333332,58684.38417832168,11,8.30567837496,66.9943840215,242.248599951,4
1,25,Yes,0.194405860622,-0.263220107079,33.6666666667,496.96969697,22.2928171609,12,404,381622.66927,4795.0,377112.5,14.98611111111111,15921.468337218335,11,8.30742699298,67.0136291665,126.180300908,1
1,26,Yes,-0.246808259894,-1.05448475185,29.8333333333,455.787878788,21.3491891834,10,358,6960.5,5754.0,1206.5,0.08333333333333333,0.07692307692307691,1,3.01511344578,7.09090909091,0.277350098113,1
