Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
2,9,Yes,0.551444158945,-0.878535924633,14.0833333333,200.083333333,14.1450815951,12,169,69570.6930215,4795.0,65089.5,5797.55775179,464.19225912975907,11,8.30167281317,66.9509050836,21.5451214694,1
2,10,Yes,0.357432229257,-0.835655950523,16.6666666667,194.424242424,13.9436093758,10,200,7940.22353827,7672.0,1206.5,661.685294856,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,1
2,11,Yes,0.450280157506,-0.367891567427,19.25,242.568181818,15.5746005348,12,231,112836.908967,6713.0,106567.5,9403.07574722,1261.6188325563323,11,8.30697184772,67.009020754,35.5192740995,1
2,12,No,1.03642731733,-0.0794083417961,18.4166666667,408.628787879,20.2145687038,9,221,3738.0,2877.0,861.0,311.5,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,3
2,13,Yes,0.550571693452,-0.346372624749,16.75,206.022727273,14.3534918146,12,201,109265.396373,5754.0,104112.5,9105.44969776,1187.6029526029524,11,8.3068744136,67.0079797487,34.4616156412,1
2,14,No,2.63940997196,5.47897541834,9.08333333333,608.265151515,24.6630320828,9,109,4795.0,4795.0,0.0,399.583333333,0.08969502719502719,3,8.79248271851,77.7303296087,0.299491280666,3
2,15,Yes,1.56281699721,1.7160059734,12.5833333333,294.446969697,17.1594571504,8,151,6351.24443863,5754.0,1378.0,529.270369886,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,1
2,16,Yes,0.804840685524,-0.00318254911856,17.4166666667,278.992424242,16.7030663126,12,209,68294.7814141,5754.0,62855.0,5691.23178451,217.239898989899,11,7.79459069565,60.7036551874,14.7390603157,1
2,17,No,1.40604600183,0.569738869103,12.5,457.545454545,21.3903121657,10,150,5155.39070706,4795.0,517.5,429.615892255,0.07454351204351203,9,6.00942319104,36.8673220936,0.273026577541,2
2,18,Yes,1.21131555562,0.722945622904,16.25,422.75,20.560885195,8,195,6286.30231448,5754.0,689.0,523.858526207,0.0729895104895105,8,4.62903837905,22.7769371437,0.270165709315,1
2,19,Yes,1.57441300651,1.67104817897,17.0833333333,632.083333333,25.1412675363,12,205,294815.408337,3836.0,291367.5,24567.9506948,9511.19187062937,11,8.30720118104,67.0111749626,97.5253396335,1
2,20,Yes,0.29795795187,0.225531914894,18.0,128.181818182,11.3217409519,12,216,193721.693022,5754.0,188281.5,16143.4744185,3938.950611888111,11,8.30674425793,67.0062328419,62.7610596779,1
2,21,No,2.04020591487,2.52696089487,7.25,306.75,17.5142798881,10,87,2877.0,2877.0,0.0,239.75,0.034527972027972025,4,9.50485651998,93.061047909,0.185817039122,2
