Experiment_Number,Trial_Number,User_Judgement,skew,Kurtosis,Mean,Variance,SD,Max_time_Index,total_time,Total_distance,Total_distance_X,Total_distance_Y,Correct_output
2,24,FALSE,1.221929025,0.281591876,35.66666667,2786.606061,52.78831367,12,428,742127,2877,739250,3
2,25,TRUE,0.194405861,-0.263220107,33.66666667,496.969697,22.29281716,12,404,381622.6693,4795,377112.5,1
2,26,TRUE,-0.24680826,-1.054484752,29.83333333,455.7878788,21.34918918,10,358,6960.5,5754,1206.5,1
2,27,FALSE,0.104192098,-0.87148171,33.66666667,598.0606061,24.45527767,12,404,421312.7271,5754,415875,4
2,28,TRUE,0.098568204,-1.157448778,29.83333333,647.4242424,25.44453266,2,358,4998.193022,4795,517,4
2,29,TRUE,0.074704529,-0.998279699,33.5,456.2727273,21.36054136,10,402,451467.5,3836,447631.5,1
2,30,FALSE,-0.191934067,-1.1331639,29.83333333,363.2424242,19.05891981,9,358,4499.0212,3836,1206.5,3
2,31,TRUE,1.035153717,-0.055455518,36.66666667,2601.515152,51.00505026,12,440,796249.3364,3836,792572.5,1
2,32,TRUE,0.933299676,0.497778805,30.25,777.8409091,27.88979937,3,363,98653.58373,6713,92411.5,1
2,33,FALSE,0.40080518,-0.790782365,31.75,558.0227273,23.62250468,10,381,179534.3364,5754,173939.5,4
2,34,FALSE,1.692547217,2.066814946,34.08333333,2747.901515,52.42043032,12,409,562383.6728,2877,559825,2
2,35,FALSE,1.238598482,1.810306649,31.08333333,622.9924242,24.95981619,12,373,520786.8907,5754,515190,1
2,36,TRUE,0.844516309,-0.054754682,32.91666667,687.9015152,26.22787668,10,395,396905.2271,5754,391467.5,1
2,37,TRUE,0.488165209,-1.255133033,29.83333333,1005.424242,31.70842542,8,358,3064.390707,2877,344.5,1
2,38,TRUE,0.237951703,-1.109259633,33.25,719.2954545,26.81968409,4,399,496202.8364,2877,493485,1
2,39,TRUE,0.061876497,-1.27154825,35.75,733.6590909,27.08614205,11,429,880069.6728,5754,874634,1
2,40,FALSE,-0.20550073,1.29724605,32.75,222.75,14.92481156,10,393,398801.3364,5754,393206.5,3
3,1,TRUE,0.408609186,-0.712329007,33.75,488.3863636,22.09946523,9,405,15765.63981,5754,10479,1
3,2,TRUE,0.652184034,-0.365386453,33.08333333,117.3560606,10.83310023,10,397,26669.80231,4795,22031.5,1
3,3,FALSE,0.732617857,-0.927628729,38.83333333,1827.424242,42.74838292,11,466,106828.3364,4795,102192.5,3
3,4,FALSE,1.409807874,0.428831071,31.66666667,2779.333333,52.7193829,4,380,68214.40897,6713,61945,2
3,5,FALSE,0.682324869,-1.434596311,39.75,2962.568182,54.42947898,12,477,189027.7906,7672,182147.5,3
3,6,TRUE,0.143141438,-1.222393488,32.75,807.6590909,28.4193436,12,393,71371.5,5754,65617.5,1
3,7,TRUE,0.235856952,-0.823406295,32.75,562.5681818,23.71851981,9,393,79109.78141,5754,73670,1
3,8,FALSE,0.338965284,-0.401117745,33.41666667,462.4469697,21.5045802,9,401,105987.1096,7672,98859,3
3,9,TRUE,0.733486198,-0.74877815,31.16666667,65.96969697,8.122173168,12,374,71320.69302,4795,66839.5,1
3,10,TRUE,-0.186948364,-1.330933513,28.58333333,441.719697,21.01712866,9,343,7940.223538,7672,1206.5,1
3,11,TRUE,-0.122555555,-0.438179955,32.08333333,382.9924242,19.57019224,12,385,114586.909,6713,108317.5,1
3,12,FALSE,0.814423842,0.2577592,28.33333333,736.7878788,27.14383685,10,340,3738,2877,861,4
3,13,TRUE,-0.138618548,-0.563357297,32,396.9090909,19.92257742,9,384,111015.3964,5754,105862.5,1
3,14,FALSE,1.85444073,1.550524845,28.91666667,4637.356061,68.09813551,9,347,4795,4795,0,4
3,15,TRUE,0.380792782,-0.968288802,29,708.9090909,26.62534678,2,348,6351.244439,5754,1378,1
